year,scheme,composition_effect,rate_effect,total_difference,composition_pct,rate_pct
2003,16-category,6.122829606389134,1.5676807513861586,7.69051035777529,79.61538729609546,20.38461270390457
2003,5-category,4.972221717520302,2.718288640254991,7.690510357775293,64.65398895787541,35.346011042124594
2003,7-category,6.06924343598616,1.6212669217891293,7.690510357775289,78.91860427507272,21.08139572492728
2004,16-category,6.0664083263265285,1.7188297606489198,7.785238086975446,77.92193711423565,22.078062885764393
2004,5-category,4.9182079454408685,2.867030141534576,7.785238086975443,63.17350722605308,36.82649277394693
2004,7-category,6.008724394576002,1.776513692399445,7.785238086975447,77.18099725978172,22.819002740218288
2005,16-category,6.339697673837966,1.2812054095120926,7.620903083350056,83.18827315477567,16.811726845224364
2005,5-category,5.141043144888144,2.4798599384619164,7.620903083350062,67.45976282155002,32.540237178449956
2005,7-category,6.277089006157841,1.3438140771922196,7.620903083350063,82.36673446053723,17.633265539462734
2006,16-category,5.922015047327966,1.6430353388079448,7.5650503861359075,78.28123733558931,21.718762664410722
2006,5-category,4.80421616888873,2.76083421724718,7.565050386135908,63.50540873717348,36.49459126282653
2006,7-category,5.869069673085525,1.695980713050384,7.5650503861359075,77.58136923769176,22.418630762308254
2007,16-category,5.974377755606487,1.5280373761272705,7.502415131733756,79.63272693797003,20.36727306202998
2007,5-category,4.898122448969345,2.604292682764413,7.50241513173376,65.28727567008707,34.712724329912916
2007,7-category,5.91012392309891,1.5922912086348493,7.502415131733758,78.77628496056201,21.223715039437995
2008,16-category,5.531202524559753,1.4615347192246277,6.9927372437843855,79.09924728655088,20.900752713449055
2008,5-category,4.464646089405449,2.5280911543789344,6.992737243784385,63.84690191775656,36.15309808224343
2008,7-category,5.478835734974143,1.5139015088102394,6.992737243784385,78.35037330830785,21.649626691692113
2009,16-category,5.445917309413594,1.4411598907382497,6.887077200151843,79.07443391651722,20.92556608348278
2009,5-category,4.417371518238109,2.4697056819137355,6.887077200151843,64.140002933911,35.859997066089
2009,7-category,5.394171525775264,1.492905674376581,6.887077200151843,78.32308785004379,21.67691214995624
2010,16-category,4.991447393392938,1.1476962588540123,6.139143652246949,81.3052711605152,18.694728839484824
2010,5-category,4.086083320633887,2.0530603316130622,6.1391436522469505,66.55787113139736,33.44212886860261
2010,7-category,4.947312718388359,1.191830933858592,6.139143652246949,80.5863651126265,19.413634887373544
2011,16-category,5.108423834592864,1.1226866195025245,6.231110454095387,81.98255948480838,18.017440515191645
2011,5-category,4.105822126170241,2.1252883279251487,6.23111045409539,65.8923021252447,34.1076978747553
2011,7-category,5.069524606020556,1.1615858480748316,6.231110454095389,81.35828506600485,18.641714933995125
